FileName,Row,Column,ORF,Gene
001001000.flex,1,1,YOR202W,WT
001002000.flex,1,2,WT,WT
001003000.flex,1,3,TSA987,EFB1
001004000.flex,1,4,TSA1066,MAK16
001005000.flex,1,5,TSA235,MTW1
001006000.flex,1,6,TSA34,CDC19
001007000.flex,1,7,TSA111,MCM2
001008000.flex,1,8,TSA274,STU1
001009000.flex,1,9,TSA365,POL12
001010000.flex,1,10,TSA45,SEC17
001011000.flex,1,11,TSA275,ILS1
001012000.flex,1,12,TSA90,CDC27
001013000.flex,1,13,TSA1015,ROX3
001014000.flex,1,14,TSA511,BRN1
001015000.flex,1,15,TSA538,PKC1
001016000.flex,1,16,TSA1062,IPP1
001017000.flex,1,17,TSA1063,CDS1
001018000.flex,1,18,TSA455,PRP6
001019000.flex,1,19,TSA331,ORC2
001020000.flex,1,20,TSA1061,ALG14
001021000.flex,1,21,TSA990,RPG1
001022000.flex,1,22,TSA54,SEC18
001023000.flex,1,23,TSA24,EXO84
001024000.flex,1,24,TSA154,CMD1
002001000.flex,2,1,YOR202W,WT
002002000.flex,2,2,WT,WT
002003000.flex,2,3,TSA177,ALG1
002004000.flex,2,4,TSA332,CKS1
002005000.flex,2,5,TSA933,SUP45
002006000.flex,2,6,TSA1110,RPB5
002007000.flex,2,7,TSA567,CNS1
002008000.flex,2,8,TSA236,SLI15
002009000.flex,2,9,TSA150,CDC28
002010000.flex,2,10,TSA751,MED8
002011000.flex,2,11,TSA91,PGI1
002012000.flex,2,12,TSA716,AME1
002013000.flex,2,13,TSA1070,ARC40
002014000.flex,2,14,TSA542,ENP1
002015000.flex,2,15,TSA1174,TRS20
002016000.flex,2,16,TSA543,TSC10
002017000.flex,2,17,TSA899,CDC10
002018000.flex,2,18,TSA1191,RSC6
002019000.flex,2,19,TSA1229,MCD1
002020000.flex,2,20,TSA934,RPT2
002021000.flex,2,21,TSA783,APC11
002022000.flex,2,22,TSA166,MPS1
002023000.flex,2,23,TSA886,ARP2
002024000.flex,2,24,TSA361,PRP9
003001000.flex,3,1,YOR202W,WT
003002000.flex,3,2,WT,WT
003003000.flex,3,3,TSA369,PRP11
003004000.flex,3,4,TSA1116,FAD1
003005000.flex,3,5,TSA370,UBC9
003006000.flex,3,6,TSA976,SUB2
003007000.flex,3,7,TSA1146,RPN6
003008000.flex,3,8,TSA991,NSE4
003009000.flex,3,9,TSA109,KIN28
003010000.flex,3,10,TSA208,CDC48
003011000.flex,3,11,TSA974,CDC53
003012000.flex,3,12,TSA704,COP1
003013000.flex,3,13,TSA1080,RPN5
003014000.flex,3,14,TSA314,CDC36
003015000.flex,3,15,TSA852,SEC31
003016000.flex,3,16,TSA919,GLE1
003017000.flex,3,17,TSA1052,CWC2
003018000.flex,3,18,TSA582,YRB1
003019000.flex,3,19,TSA583,PSF1
003020000.flex,3,20,TSA1077,DAD1
003021000.flex,3,21,TSA1076,HEM13
003022000.flex,3,22,TSA988,TPI1
003023000.flex,3,23,TSA162,DBF4
003024000.flex,3,24,TSA92,CDC34
004001000.flex,4,1,YOR202W,WT
004002000.flex,4,2,WT,WT
004003000.flex,4,3,TSA249,MAK21
004004000.flex,4,4,TSA1111,RPS13
004005000.flex,4,5,TSA599,STN1
004006000.flex,4,6,TSA1127,RLI1
004007000.flex,4,7,TSA862,PDS1
004008000.flex,4,8,TSA1088,APC4
004009000.flex,4,9,TSA854,DOP1
004010000.flex,4,10,TSA806,TAF12
004011000.flex,4,11,TSA36,SEC1
004012000.flex,4,12,TSA51,SEC5
004013000.flex,4,13,TSA315,CDC37
004014000.flex,4,14,TSA44,SEC7
004015000.flex,4,15,TSA66,SCC2
004016000.flex,4,16,TSA807,CDC1
004017000.flex,4,17,TSA251,SLY1
004018000.flex,4,18,TSA890,YDR196C
004019000.flex,4,19,TSA1122,SPC19
004020000.flex,4,20,TSA685,PCF11
004021000.flex,4,21,TSA995,NSE3
004022000.flex,4,22,TSA733,SRP101
004023000.flex,4,23,TSA1177,GPI11
004024000.flex,4,24,TSA503,RSC3
005001000.flex,5,1,YOR202W,WT
005002000.flex,5,2,WT,WT
005003000.flex,5,3,TSA809,SKP1
005004000.flex,5,4,TSA371,GPI8
005005000.flex,5,5,TSA580,BCP1
005006000.flex,5,6,TSA785,RPT3
005007000.flex,5,7,TSA1268,RPB7
005008000.flex,5,8,TSA1178,GPI17
005009000.flex,5,9,TSA1014,GPI19
005010000.flex,5,10,TSA1058,SLD5
005011000.flex,5,11,TSA55,SEC20
005012000.flex,5,12,TSA928,SMT3
005013000.flex,5,13,TSA1216,RBA50
005014000.flex,5,14,TSA1225,YDR531W
005015000.flex,5,15,TSA736,HYP2
005016000.flex,5,16,TSA595,POL5
005017000.flex,5,17,TSA252,NTF2
005018000.flex,5,18,TSA519,SRB4
005019000.flex,5,19,TSA659,TSC11
005020000.flex,5,20,TSA1138,PUP3
005021000.flex,5,21,TSA465,RSP5
005022000.flex,5,22,TSA185,GLC7
005023000.flex,5,23,TSA64,GDI1
005024000.flex,5,24,TSA41,COG3
006001000.flex,6,1,YOR202W,WT
006002000.flex,6,2,WT,WT
006003000.flex,6,3,TSA588,RAD3
006004000.flex,6,4,TSA307,SEC4
006005000.flex,6,5,TSA415,CDC4
006006000.flex,6,6,TSA1083,FRS2
006007000.flex,6,7,TSA650,CAK1
006008000.flex,6,8,TSA591,YPT1
006009000.flex,6,9,TSA910,ACT1
006010000.flex,6,10,TSA534,RPN11
006011000.flex,6,11,TSA146,CDC14
006012000.flex,6,12,TSA88,CDC26
006013000.flex,6,13,TSA1139,PRE4
006014000.flex,6,14,TSA823,RET2
006015000.flex,6,15,TSA405,RPN12
006016000.flex,6,16,TSA1197,ALG13
006017000.flex,6,17,TSA186,RPT6
006018000.flex,6,18,TSA239,DUO1
006019000.flex,6,19,TSA461,ALG2
006020000.flex,6,20,TSA423,HSF1
006021000.flex,6,21,TSA444,MPS2
006022000.flex,6,22,TSA977,NUP145
006023000.flex,6,23,TSA955,SRM1
006024000.flex,6,24,TSA592,USE1
007001000.flex,7,1,YOR202W,WT
007002000.flex,7,2,WT,WT
007003000.flex,7,3,TSA1119,SLD3
007004000.flex,7,4,TSA368,CDC20
007005000.flex,7,5,TSA607,PRP43
007006000.flex,7,6,TSA358,CEG1
007007000.flex,7,7,TSA546,SEC27
007008000.flex,7,8,TSA1133,GPI10
007009000.flex,7,9,TSA271,TIP20
007010000.flex,7,10,TSA40,SEC15
007011000.flex,7,11,TSA1194,GUS1
007012000.flex,7,12,TSA1123,BRR6
007013000.flex,7,13,TSA895,SWC4
007014000.flex,7,14,TSA430,PRP18
007015000.flex,7,15,TSA57,SEC9
007016000.flex,7,16,TSA677,UFD1
007017000.flex,7,17,TSA480,PRP38
007018000.flex,7,18,TSA400,PRP31
007019000.flex,7,19,TSA160,DBF2
007020000.flex,7,20,TSA978,ESP1
007021000.flex,7,21,TSA245,DAM1
007022000.flex,7,22,TSA954,NUP57
007023000.flex,7,23,TSA187,COG2
007024000.flex,7,24,TSA221,CBF2
008001000.flex,8,1,YOR202W,WT
008002000.flex,8,2,WT,WT
008003000.flex,8,3,TSA1125,YIP1
008004000.flex,8,4,TSA290,TYS1
008005000.flex,8,5,TSA547,ZPR1
008006000.flex,8,6,TSA548,GPI1
008007000.flex,8,7,TSA460,CRM1
008008000.flex,8,8,TSA1147,PUP2
008009000.flex,8,9,TSA35,MES1
008010000.flex,8,10,TSA526,MAS2
008011000.flex,8,11,TSA255,RPN1
008012000.flex,8,12,TSA1042,BRL1
008013000.flex,8,13,TSA1053,MED6
008014000.flex,8,14,TSA493,SAM35
008015000.flex,8,15,TSA1000,RPF1
008016000.flex,8,16,TSA30,CDC12
008017000.flex,8,17,TSA1136,ORC6
008018000.flex,8,18,TSA1208,YHR122W
008019000.flex,8,19,TSA87,CDC23
008020000.flex,8,20,TSA1256,SPC97
008021000.flex,8,21,TSA291,KOG1
008022000.flex,8,22,TSA1166,GPI16
008023000.flex,8,23,TSA792,BET1
008024000.flex,8,24,TSA615,RPB3
009001000.flex,9,1,YOR202W,WT
009002000.flex,9,2,WT,WT
009003000.flex,9,3,TSA947,MET30
009004000.flex,9,4,TSA188,NEO1
009005000.flex,9,5,TSA888,ARC15
009006000.flex,9,6,TSA38,SEC6
009007000.flex,9,7,TSA1258,MOB1
009008000.flex,9,8,TSA456,SEC24
009009000.flex,9,9,TSA553,NUP159
009010000.flex,9,10,TSA435,DSN1
009011000.flex,9,11,TSA1105,STS1
009012000.flex,9,12,TSA617,SQT1
009013000.flex,9,13,TSA318,SEC11
009014000.flex,9,14,TSA735,OST1
009015000.flex,9,15,TSA354,CYR1
009016000.flex,9,16,TSA437,MPS3
009017000.flex,9,17,TSA210,KAR2
009018000.flex,9,18,TSA1099,TAD2
009019000.flex,9,19,TSA496,NUP192
009020000.flex,9,20,TSA1228,PSF2
009021000.flex,9,21,TSA848,EXO70
009022000.flex,9,22,TSA1207,PHS1
009023000.flex,9,23,TSA499,PAM16
009024000.flex,9,24,TSA620,GCD14
010001000.flex,10,1,YOR202W,WT
010002000.flex,10,2,WT,WT
010003000.flex,10,3,TSA653,RFA3
010004000.flex,10,4,TSA32,CDC6
010005000.flex,10,5,TSA401,PRP21
010006000.flex,10,6,TSA1266,NUP85
010007000.flex,10,7,TSA328,SSC1
010008000.flex,10,8,TSA705,TAH11
010009000.flex,10,9,TSA407,CDC8
010010000.flex,10,10,TSA341,ARP3
010011000.flex,10,11,TSA83,CDC11
010012000.flex,10,12,TSA438,NNF1
010013000.flex,10,13,TSA619,SFT1
010014000.flex,10,14,TSA1269,ARC19
010015000.flex,10,15,TSA1273,RAM2
010016000.flex,10,16,TSA1046,MAK11
010017000.flex,10,17,TSA883,CDC16
010018000.flex,10,18,TSA1031,URA6
010019000.flex,10,19,TSA1034,URA6
010020000.flex,10,20,TSA1155,UGP1
010021000.flex,10,21,TSA1003,ASK1
010022000.flex,10,22,TSA1265,FBA1
010023000.flex,10,23,TSA1206,YKL088W
010024000.flex,10,24,TSA113,MIF2
011001000.flex,11,1,YOR202W,WT
011002000.flex,11,2,WT,WT
011003000.flex,11,3,TSA190,RPT1
011004000.flex,11,4,TSA731,SRP102
011005000.flex,11,5,TSA795,MCD4
011006000.flex,11,6,TSA529,EBP2
011007000.flex,11,7,TSA572,SDS22
011008000.flex,11,8,TSA1089,YKT6
011009000.flex,11,9,TSA398,TOR2
011010000.flex,11,10,TSA191,UBA1
011011000.flex,11,11,TSA498,RSC4
011012000.flex,11,12,TSA1231,NTR2
011013000.flex,11,13,TSA839,SPC34
011014000.flex,11,14,TSA1090,BET3
011015000.flex,11,15,TSA425,DAD2
011016000.flex,11,16,TSA475,SFI1
011017000.flex,11,17,TSA351,ORC3
011018000.flex,11,18,TSA1101,SOF1
011019000.flex,11,19,TSA248,COF1
011020000.flex,11,20,TSA1164,NOC3
011021000.flex,11,21,TSA1132,SSL1
011022000.flex,11,22,TSA501,PAM18
011023000.flex,11,23,TSA1026,YLR022C
011024000.flex,11,24,TSA198,SED5
012001000.flex,12,1,YOR202W,WT
012002000.flex,12,2,WT,WT
012003000.flex,12,3,TSA555,STU2
012004000.flex,12,4,TSA1227,FRS1
012005000.flex,12,5,TSA623,SPC3
012006000.flex,12,6,TSA199,BOS1
012007000.flex,12,7,TSA855,MSL5
012008000.flex,12,8,TSA262,APC2
012009000.flex,12,9,TSA497,MAS1
012010000.flex,12,10,TSA63,SEC10
012011000.flex,12,11,TSA690,NMT1
012012000.flex,12,12,TSA52,SEC13
012013000.flex,12,13,TSA717,TUB4
012014000.flex,12,14,TSA26,CDC42
012015000.flex,12,15,TSA584,YEF3
012016000.flex,12,16,TSA121,SEC22
012017000.flex,12,17,TSA403,CDC46
012018000.flex,12,18,TSA256,GSP1
012019000.flex,12,19,TSA23,CDC25
012020000.flex,12,20,TSA130,CDC3
012021000.flex,12,21,TSA1150,TAD3
012022000.flex,12,22,TSA226,KAP95
012023000.flex,12,23,TSA213,SEC61
012024000.flex,12,24,TSA1023,SEN1
013001000.flex,13,1,YOR202W,WT
013002000.flex,13,2,WT,WT
013003000.flex,13,3,TSA726,SEC39
013004000.flex,13,4,TSA222,NBP1
013005000.flex,13,5,TSA645,TAF11
013006000.flex,13,6,TSA1005,NSE5
013007000.flex,13,7,TSA176,NDC1
013008000.flex,13,8,TSA494,PRP39
013009000.flex,13,9,TSA1170,ORC1
013010000.flex,13,10,TSA847,POB3
013011000.flex,13,11,TSA1131,BET5
013012000.flex,13,12,TSA636,TAF13
013013000.flex,13,13,TSA1160,RSC9
013014000.flex,13,14,TSA203,ERO1
013015000.flex,13,15,TSA422,SEC59
013016000.flex,13,16,TSA495,ARP9
013017000.flex,13,17,TSA1106,RNA14
013018000.flex,13,18,TSA983,PDS5
013019000.flex,13,19,TSA53,SEC14
013020000.flex,13,20,TSA59,CTF13
013021000.flex,13,21,TSA293,SPC24
013022000.flex,13,22,TSA294,CEP3
013023000.flex,13,23,TSA634,VTI1
013024000.flex,13,24,TSA702,CEF1
014001000.flex,14,1,YOR202W,WT
014002000.flex,14,2,WT,WT
014003000.flex,14,3,TSA118,RNA1
014004000.flex,14,4,TSA402,PRP24
014005000.flex,14,5,TSA1162,GPI12
014006000.flex,14,6,TSA682,PSE1
014007000.flex,14,7,TSA1159,RLP7
014008000.flex,14,8,TSA467,LST8
014009000.flex,14,9,TSA1157,GPI15
014010000.flex,14,10,TSA344,POL1
014011000.flex,14,11,TSA754,DCP2
014012000.flex,14,12,TSA1262,KRE33
014013000.flex,14,13,TSA1190,PGA1
014014000.flex,14,14,TSA1213,YNL181W
014015000.flex,14,15,TSA267,RIO2
014016000.flex,14,16,TSA558,RAP1
014017000.flex,14,17,TSA1156,CSL4
014018000.flex,14,18,TSA418,DSL1
014019000.flex,14,19,TSA424,ORC5
014020000.flex,14,20,TSA20,POL2
014021000.flex,14,21,TSA16,YIF1
014022000.flex,14,22,TSA56,SEC2
014023000.flex,14,23,TSA1168,TIM23
014024000.flex,14,24,TSA60,SEC12
015001000.flex,15,1,YOR202W,WT
015002000.flex,15,2,WT,WT
015003000.flex,15,3,TSA470,ARC35
015004000.flex,15,4,TSA479,NOG2
015005000.flex,15,5,TSA1153,PRE6
015006000.flex,15,6,TSA171,RFC4
015007000.flex,15,7,TSA943,HRP1
015008000.flex,15,8,TSA306,CDC33
015009000.flex,15,9,TSA681,HSP10
015010000.flex,15,10,TSA212,UFE1
015011000.flex,15,11,TSA1158,OST2
015012000.flex,15,12,TSA232,PFY1
015013000.flex,15,13,TSA1173,THI80
015014000.flex,15,14,TSA693,RPB2
015015000.flex,15,15,TSA738,MED4
015016000.flex,15,16,TSA924,LAS17
015017000.flex,15,17,TSA561,DED1
015018000.flex,15,18,TSA1195,RPB8
015019000.flex,15,19,TSA505,MGE1
015020000.flex,15,20,TSA563,ESA1
015021000.flex,15,21,TSA746,APC5
015022000.flex,15,22,TSA231,SEC63
015023000.flex,15,23,TSA152,CDC31
015024000.flex,15,24,TSA260,RPT4
016001000.flex,16,1,YOR202W,WT
016002000.flex,16,2,WT,WT
016003000.flex,16,3,TSA850,GCD1
016004000.flex,16,4,TSA1215,YOR262W
016005000.flex,16,5,TSA530,RPA190
016006000.flex,16,6,TSA1249,PRE10
016007000.flex,16,7,TSA258,MRS6
016008000.flex,16,8,TSA689,RET3
016009000.flex,16,9,TSA566,ULP1
016010000.flex,16,10,TSA1189,TIM50
016011000.flex,16,11,TSA463,GPI2
016012000.flex,16,12,TSA363,MOT1
016013000.flex,16,13,TSA224,SEC62
016014000.flex,16,14,TSA1199,TBF1
016015000.flex,16,15,TSA922,CDC60
016016000.flex,16,16,TSA816,MEX67
016017000.flex,16,17,TSA206,IPL1
016018000.flex,16,18,TSA428,YAH1
016019000.flex,16,19,TSA930,ARP7
016020000.flex,16,20,TSA122,SEC8
016021000.flex,16,21,TSA1037,RPN7
016022000.flex,16,22,TSA1247,ORC4
016023000.flex,16,23,TSA819,PRP4
016024000.flex,16,24,TSA900,SEC23
